,TITULAR,DESCRIPCIÓN,LINKS
0,México registra 3.182 casos y 201 muertes de coronavirus en un día ,La Secretaría de Salud confirmó además 75.552 casos sospechosos que están a la espera de los resultados de laboratorio y que se calcula que al me...,https://elcomercio.pe/mundo/mexico/coronavirus-en-mexico-en-vivo-casos-y-cifras-oficiales-del-jueves-17-de-septiembre-mexico-registra-3182-casos-y-201-muertes-de-covid-19-en-un-dia-ultimo-minuto-en-directo-amlo-cdmx-noticia/
1,EE.UU. registra 928 muertos y 44.254 contagios por coronavirus en un día ,"En cuanto a contagios, California lidera la lista con 774.325, seguido de Texas con 713.454, mientras que el tercero es Florida con 674.456, y Nu...",https://elcomercio.pe/mundo/eeuu/coronavirus-en-estados-unidos-en-vivo-hoy-jueves-17-de-septiembre-de-2020-eeuu-registra-928-muertos-y-44254-contagios-por-covid-19-en-un-dia-usa-casos-y-cifras-oficiales-donald-trump-noticia/
